collectedBy,collectorNumber,collectionDate,family,genus,specificEpithet,infraspecificEpithet,habitatDescription,associatedTaxa,reproductiveCondition,cultivationStatus,sex,morphologicalDescription,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,elevationNumber,
,47,3-17-24,asteraceae,chaetopappa,asteroides,,low grassland occupied by some small shrubs,mostly grasses ,flowering,wild,bisexual,very small white radial solitary flowers attached to short main stem,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,49,3-18-24,cupressaceae,juniperus, pinchotii,,shrubland,mostly grasses and cactus,flowering,wild,male, white spots on leaves small cones attached at different points throughout ,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,51,3-18-24,cupressaceae,juniperus,ashei,,shrubland,mostly grasses and cactus,flowering,wild,male,small cones attached at different points throughout ,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,53,3-18-24,poaceae,bromus,uniloides,,low grassland occupied by some small shrubs,mostly grasses and cactus,fruiting,wild,bisexual,spike with conglomeration of florets packed together at apex of each stem,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,55,3-18-24,rutaceae,thamnosa,texana,,low grassland occupied by some small shrubs,mostly grasses and cactus,fruiting,wild,bisexual,heart shaped fruit about halfway up each stem with very small red radial flowers at apex,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,57,3-18-24,asteraceae,erigeron,glaucus,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,radial purple and pinkish flowers attached at apex of each stem,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,59,3-18-24,asteraceae,thymophyla,pentachaeta,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,solitary radial yellow flower at apex of each stem,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,61,3-26-24,rosaceae, prunus,americana,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,white radial flower with long stamens attached by a pedicel to woody branch,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,63,3-26-24,fabaceae,cercis,canadensis,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,pink zygomorphic flowers attched to woody main stem via long pedicels in an umbel shape inflorescence ,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,65,3-26-24,berberidaceae,berberis,trifoliolata,,low grassland occupied by some small shrubs,mostly grasses and cactus,flowering,wild,bisexual,yellow flowers attached to stem via a short pedicel,United States of America,Texas,Nolan,Sweetwater,Pace Ranch,32.548333,-100.272222,687,meters
,67,4-18-24,berberidaceae,berberis,trifoliolata,,near creek in grassland with large trees nearby,pecan trees and lots of grasses and sedges,fruiting,wild,bisexual,fruit attached to stem via short pedicels,United States of America,Texas,Tom Green,Knickerbocker,Knickerbocker Ranch,31.254722,-100.66,687,meters
,69,4-18-24,poaceae,Nassella ,Leucotricha,,near creek in grassland with large trees nearby,pecan trees and lots of grasses and sedges,fruiting,wild,bisexual,seed heads attached to main stem via long peduncles with very long aws coming off the lemma,United States of America,Texas,Tom Green,Knickerbocker,Knickerbocker Ranch,31.254722,-100.66,687,meters
,71,4-18-24,smilacaceae,Smilax ,rotundifolia,,growing on a tree near a creek,pecan trees and lots of grasses and sedges ,flowering,wild,bisexual,vine like with umbel inflorescence with white flowers,United States of America,Texas,Tom Green,Knickerbocker,Knickerbocker Ranch,31.254722,-100.66,687,meters
,73,4-18-24,poaceae,pennisetum,ciliare,,near creek in grassland with large trees nearby,pecan trees and lots of other grasses ,flowering,wild,bisexual,parallel venation with beige colored inflorescence,United States of America,Texas,Tom Green,Knickerbocker,Knickerbocker Ranch,31.254722,-100.66,687,meters
,75,4-18-24,cyperaceae,carex,leavenworthii,,near creek in grassland with large trees nearby,pecan trees and lots of other grasses ,flowering,wild,bisexual,Triangular stem with condensed seed head ,United States of America,Texas,Tom Green,Knickerbocker,Knickerbocker Ranch,31.254722,-100.66,687,meters
,77,4-18-24,Poaceae,Bromus,inermis,,near creek in grassland with large trees nearby,pecan trees and lots of other grasses ,flowering,wild,bisexual,smooth stem with seed head at apex,,Texas,Tom Green,Knickerbocker,Knickerbocker Ranch,31.254722,-100.66,687,meters
,1,2024-03-13 00:00:00,Poaceae,Miscanthus,,,Flower bed alone with full sun beside a building,bermuda grass and saint augustine grass,seeding ,cultivated,Bisexual,"3-4 feet tall, tan and dried out, multiple spikelets in the inflorescence surrounded by hairs ",U.S,Texas,Tom Green,San Angelo,River Ranch Apartments,31.42431° N,100.45095° W,1844,Feet
,2,2024-03-13 00:00:00,Rosaceae,Rosa,,,Flower bed with sun beside building ,bermuda grass and saint augustine grass,flowering,cultivated,Bisexual,"Red flowers, large bush, deep purple green foliage, sweet scent",U.S,Texas,Tom Green,San Angelo,River Ranch Apartments,31.42496° N,100.45071° W,1844,Feet
,3,2024-03-13 00:00:00,Sapindaceae,Ungnadia,,,"A lone tree with no shrubs around, full sun",bermuda grass and saint augustine grass and slender yellow woodsorrel,flowering,cultivated,Bisexual,"Capsule fruits, pink small flowers in an infloresence, no leaves",U.S,Texas,Tom Green,San Angelo,River Ranch Apartments,31.4249° N,100.45126° W,1844,Feet
,4,2024-03-13 00:00:00,Oleaceae,Lignstrum,,,"By building, partial shade ",bermuda grass and saint augustine grass,flowering,cultivated,Bisexual,"White small flower, dark green waxy leaves, branches and leaves cover whole pant",U.S,Texas,Tom Green,San Angelo,River Ranch Apartments,31.42472° N,100.45109° W,1844,Feet
,5,2024-03-30 00:00:00,Commelinaceae,Tradescantia,,,"Full sun, by building","Mesquite, live oak, pecan tree, Texas Wintergrass, rescuegrass",flowering,noncultivated,Bisexual,"purple small flowers, plant covered in small hairs, simple linear leaves with parallel venation, tubular stem",U.S,Texas,Medina,Hondo,rural county,29.34973° N,99.14183° W,892,Feet
,6,2024-03-24 00:00:00,Fagaceae,Quercus,,,"full sun, open area",bermuda grass and saint augustine grass,flowering,cultivated,bisexual,"Medium tall tree, flowering, green new growth leaves, flowers a green color",U.S,Texas,Tom Green,San Angelo,River Ranch Apartments,31.4248° N,100.45024° W,1844,Feet
,7,2024-03-30 00:00:00,Poaceae,Bromus,,,"Full sun, open area, rangeland","Mesquite, live oak, pecan tree, Texas Wintergrass",seeding ,noncultivated,Bisexual,"about 1.5 feet tall bunchgrass with a raceme inflorescence, green flattened spikelets",U.S,Texas,Medina,Hondo,rural county,29.34973° N,99.14183° W,892,Feet
,8,2024-03-30 00:00:00,Poaceae,Stipa,,,"Full sun, open area, rangeland","Mesquite, live oak, pecan tree, rescuegrass",seeding ,noncultivated,Bisexual,"about 1.5 feet tall, panicle inflorescence, short hairs at nodes, long awns, bunchgrass",U.S,Texas,Medina,Hondo,rural county,29.34973° N,99.14183° W,892,Feet
,9,2024-03-30 00:00:00,Poaceae,Hordeum,,,"Full sun, open area, rangeland","Mesquite, Texas Wintergrass, rescuegrass",seeding ,noncultivated,Bisexual,"about 2 feet tall, short awns, spike inflorescence, green spikelets, bunchgrass, linear leaves with parallel venation, bent at nodes",U.S,Texas,Medina,Hondo,rural county,29.34973° N,99.14183° W,892,Feet
,10,2024-03-30 00:00:00,Fabaceae,Prosopis,,,"Full sun, open area, rangeland","Live oak, Texas Wintergrass, rescuegrass",Flowering,noncultivated,Bisexual,"Medium tall tree, thorns, raceme inflorescences, compound leaves",U.S,Texas,Medina,Hondo,rural county,29.34973° N,99.14183° W,892,Feet
,11,2024-03-30 00:00:00,Iridaceae,Iris,,,"Full sun, flower garden, next to building","St. augistine, bermuda grass, Pecan tree, bluebonnets, roses",flowering,cultivated,Bisexual,"purple tepals, 3 inner and 3 outer tepals, yellow ""beards"", long leaves with leaf sheath, plant about 3 feet tall, single flower",U.S,Texas,Medina,Hondo,in town garden,29.34973° N,99.14183° W,892,Feet
,12,2024-03-30 00:00:00,Papaveraceae,Papaver,,,"Full sun, open area","bermudagrass, roses, bluebonnets, cedar tree, pecan , mountain laurel",Flowering,noncultivated,Bisexual,"red tepals with black spot, about 2 feet tall, plant covered in course hair, single flower",U.S,Texas,Medina,Hondo,side of road,29.34973° N,99.14183° W,892,Feet
,13,2024-03-30 00:00:00,Lamiaceae,Salvia,,,"full sun, by fence","bermudagrass, roses, mountain laurel, irises",Flowering,noncultivated,Bisexual,"small red flowers, raceme inflorescence, leaves  have reticulate venation and toothed margins, plant about 1.5 feet tall, strong scent",U.S,Texas,Medina,Hondo,side of road,29.34973° N,99.14183° W,892,Feet
,14,2024-04-01 00:00:00,Cupressaceae,Platycladus,,,Full sun by building no standing water near,bermudagrass,cones,cultivated,bisexual,"small blue green cones, large shrub, small green scale like leaves ",U.S,Texas,Tom Green,San Angelo,side of road,31.46748° N,100.47361° W,1844,Feet
,15,2024-04-02 00:00:00,Asteraceae,Engelmannia,,,full sun open area side of road,un-identified grasses,Flowering,noncultivated,Bisexual,"compound umbel inflorescence, yellow petals and stamens, plant covered in hairs, plant has a light green color ",U.S,Texas,Tom Green,San Angelo,side of road,31.46954° N,100.48239° W,1844,Feet
,16,2024-04-03 00:00:00,Asteraceae,Taraxacum,,,partial sun under tree,Oak tree and bermuda grass,Flowering,noncultivated,Bisexual,"capitulum inflorescence that is yellow, green stem, leaves about 3 inches long",U.S,Texas,Tom Green,San Angelo,near sidewalk,31.43955° N,100.46355° W,1844,Feet
,17,2024-04-03 00:00:00,Brassicaceae,Sinapis,,,full sun open area,un identified grasses,flowering,noncultivated,Bisexual,"panicle of cormbs, small yellow flowers,green stem and leaves, plant is 2-3 feet tall with multiple flowering stems coming from base",U.S,Texas,Tom Green,San Angelo,drainage ditch,31.42574° N,100.45055° W,1844,Feet
,18,2024-04-03 00:00:00,Aquifoliaceae,Ilex,,,"full sun, landscaped area, rocks",small bushes,flowering and fruiting,cultivated,Bisexual,"small red berries, small white flowers, medium sized tree, dark green leaves",U.S,Texas,Tom Green,San Angelo,landscaping area,31.43952° N,100.46340° W,1844,Feet
,19,2024-04-04 00:00:00,Ephedraceae,Ephedra,,,partial sun under tree,"unidentified grasses, mesquite tree",coning,noncultivated,sexual,"small pink cones, very small leaves with green stems",U.S,Texas,Tom Green,San Angelo,off road ,31.50271° N,100.49854° W,1844,Feet
,20,2024-04-04 00:00:00,Malvaceae,Sphaeralcea,,,full sun near trees,"mesquite tree, ephedra, grasses",Flowering,noncultivated,Bisexual,"spike like panicle with pink flowers, small hairs covering plant, plant is light green",U.S,Texas,Tom Green,San Angelo,off road ,31.50271° N,100.49854° W,1844,Feet
,21,2024-04-04 00:00:00,Asteraceae,Parthenium,,,full sun near trees,"mesquite trees, mariola",Flowering,noncultivated,Bisexual,"multiple panicles, tap root, light green color small white flowers",U.S,Texas,Tom Green,San Angelo,off road ,31.50329° N,100.49735° W,1844,Feet
,22,2024-04-04 00:00:00,Brassicaceae,Lepidium,,,full sun near trees,"mesquite trees, mariola",Flowering,noncultivated,Bisexual,"small white flowers, plant about 1.5 feet tall, plant is green",U.S,Texas,Tom Green,San Angelo,off road ,31.50329° N,100.49735° W,1844,Feet
,23,2024-04-04 00:00:00,Asteraceae,Pinaropappus,,,full sun,around unidentified grasses,Flowering,noncultivated,Bisexual,"single white flowers, shorter thin leaves, longer stem",U.S,Texas,Tom Green,San Angelo,off road ,31.50338° N,100.49713° W,1844,Feet
,24,2024-04-04 00:00:00,Tamaricaceae,Tamarix,,,full sun near other trees,"multiple grasses, mesquite trees",Flowering,noncultivated,Bisexual,"lots of small pink flowers, multiple racemes small scale like leaves, medium sized tree",U.S,Texas,Tom Green,San Angelo,off road near brush,31.50203° N,100.49624° W,1844,Feet
,25,2024-04-11 00:00:00,Malvaceae,Callirhoe,,,Full sun near river,multiple types of grasses,Flowering,Noncultivated,Bisexual,"purple petals stamen and pistil in the missle of flower on pillar, inflorescence is cyme-like with only two flowers",U.S,Texas,Tom Green,San Angelo,in grass near parking lot,31.45683° N,100.43938° W,1844,Feet
,26,2024-04-11 00:00:00,Solanace,Solanum,,,Full sun near river,bermuda grass,Flowering,noncultivated,Bisexual,"purple flowers in a panicle, brown thorns, greenish grey leaves and stem",U.S,Texas,Tom Green,San Angelo,in grass near river,31.45741° N,100.4378° W,1844,Feet
,27,2024-04-11 00:00:00,Onagraceae,Oenthera,,,Full sun near river,"Bermuda grass, silverleaf nightshade",Flowering,noncultivated,Bisexual,"Pink flowers, one blooming at a time, umbel-like inflorescence, multiple stems",U.S,Texas,Tom Green,San Angelo,in grass near river,31.45741° N,100.4378° W,1844,Feet
,28,2024-04-11 00:00:00,Plantaginaceae,Nuttallanthus,,,Full sun near river,bermuda grass,Flowering,noncultivated,Bisexual,"small pink-purple flowers on a panicle of racemes, plant is green and about 1.5 feet tall",U.S,Texas,Tom Green,San Angelo,in grass near river,31.45714° N,100.43886° W,1844,Feet
,29,2024-04-14 00:00:00,Magnoliaceae,Magnolia,,,partial sun in corner of building,flowerbed,Fruiting,cultivated,Bisexual,"large leathery leaves, green on top and brown on bottom, 15 feet tall, small fuzzy reproductive structure on end of branches",U.S,Texas,Victoria,Victoria,large pot corner of building,28.79756° N,97.00733° W,95,Feet
,30,2024-04-14 00:00:00,Asparagaceae,Asparagus,,,Partial sun in pot,"foxtail fern, indian hawthorne",Flowering,Cultivated,Bisexual,"small thorns, compound leaves, small white flowers on raceme from axil if leaves",U.S,Texas,Victoria,Victoria,pot in corner,28.79756° N,97.00733° W,95,Feet
,31,2024-04-14 00:00:00,Cannaceae,Canna,,,partial sun near building,various garden plants,Flowering,Cultivated,Bisexual,"thick stem, yellow flowers, sheathing leaves that are large, inflorescence is a corymb",U.S,Texas,Victoria,Victoria,flowerbed in front of building,28.79756° N,97.00733° W,95,Feet
,32,2024-04-14 00:00:00,Begoniaceae,Begonia,,,Partial sun,various garden plants,Flowering,Cultivated,Bisexual,"light pink ang green stem and leaves, small pink flowers in an umbel inflorescence",U.S,Texas,Victoria,Victoria,flowerbed in front of building,28.79756° N,97.00733° W,95,Feet
,33,2024-04-14 00:00:00,Crassulaceae,Sedum,,,Partial sun,Potted plants,Flowering,Cultivated,Bisexual,"small white flowers in a small raceme, thick green leaves ",U.S,Texas,Victoria,Victoria,Potted plant,28.79756° N,97.00733° W,95,Feet
,34,2024-04-14 00:00:00,Begoniaceae,Begonia,,,partial sun,Potted plants,Flowering,cultivated,Bisexual,"large circular leaves that are dark green on top and red on bottom and peltate, small pink flowers in a panicle inflorescence",U.S,Texas,Victoria,Victoria,Potted plant,28.79756° N,97.00733° W,95,Feet
,35,2024-04-14 00:00:00,Rosaceae,Rosa,,,Full sun,Potted plants,Flowering,cultivated,Bisexual,"1 ft tall, pink singlular flowers, thorny stems green leaves",U.S,Texas,Victoria,Victoria,Potted plant,28.79756° N,97.00733° W,95,Feet
,36,2024-04-18 00:00:00,Lamiaceae,Marrubium,,,Full shade,Oak tree and multiple grasses,Flowering,noncultivated,Bisexual,"about 2 feet tall, small white flowers in thyrse inflorescences, plant is a gray green with gray fuzz covering plant",U.S,Texas,Tom Green,San Angelo,In wooded area under oak trees,31.25467° N,100.66065° W,1844,Feet
,37,2024-04-18 00:00:00,Brassicaceae,Cakile,,,in shallow water in shade,Oak tree on the shore,flowering and fruiting,noncultivated,Bisexual,"only a few inches tall, flows with water, rooted in rocks, small white flowers in corymb inflorescences, plant is green",U.S,Texas,Tom Green,San Angelo,in stream next to shore,31.25467° N,100.66065° W,1844,Feet
,38,2024-04-18 00:00:00,Haloragaceae,Myriophyllum,,,in shallow water in shade,grasses and oaks on shore,neither,noncultivated,not sure,"varied in length with water depth completely submurged, plant is tan with dirt that settled on it but plant itself is green with brown stem",U.S,Texas,Tom Green,San Angelo,in stream near shore shaded,31.25467° N,100.66065° W,1844,Feet
,1,2024-03-12 00:00:00,Rosaceae,Rubus,trivialis,, abandoned gravel road with sparce grass,Sparce grasses,Flowering,Wild,Bisexual,hard hairs on stem with white petals,USA,Texas,Burnet,Burnet,Private Ranch off of County Road 330,30.74519 N,98.20431 W,411,meters
,2,2024-03-12 00:00:00,Asteraceae,Tetraneuris,spp.,,Gravel pit with little vegetation,Just this species,Flowering,Wild,Bisexual,Yellow ray flowers ,USA,Texas,Burnet,Burnet,Private Ranch off of County Road 330,30.74500 N,98.20448 W,411,meters
,3,2024-03-12 00:00:00,Asparagaceae,Muscari,neglectum,,Underneath an oak tree growing through leaf litter,Beneath a live oak,Flowering,Wild,Bisexual,Purple flowers hanging downwards with a white bulb,USA,Texas,Burnet,Burnet,Private Ranch off of County Road 330,30.74433 N,98.20288 W,403,meters
,5,2024-03-12 00:00:00,Berberidaceae,Berberis,trifoliolata,,Growing around a cedar tree with bare ground surrounding it,Juniper and a few grasses,Flowering,Wild,Bisexual,Sharp spiny leaves with yellow flowers and red fruit,USA,Texas,Burnet,Burnet,Private Ranch off of County Road 330,30.74533 N,98.20406 W,408,meters
,7,2024-03-21 00:00:00,Malvaceae,Sphaeralcea,spp.,,Growing along dirt path with other Malvaceae,Mesquite present nearby,Flowering,Wild,Bisexual,Orange petals on solitary flower,USA,Texas,Tom Green,San Angelo,Along the San Angelo Nature Trail,31.36680 N,100.52464 W,575,meters
,9,2024-03-21 00:00:00,Solanaceae,Solanum,triquetrum,,Growing within dead brush along dirt path,Oak and other trees,Flowering,Wild,Bisexual,Small white petals with purple tint and yellow stamens,USA,Texas,Tom Green,San Angelo,Along the San Angelo Nature Trail,31.37770 N ,100.53274 W,575,meters
,10,2024-03-21 00:00:00,Verbenaceae,Aloysia,gratissima,,Bare ground rangeland full of prickly pear,Prickly pear and different species of verbenea ,Flowering,Wild,Bisexual,White flowers arranged in inflorescnce,USA,Texas,Tom Green,San Angelo,Along the San Angelo Nature Trail,31.36871 N,100.51502 W,575,meters
,11,2024-03-21 00:00:00,Poaceae,Hordeum,jubatum,,Grassy path in a small grove,Growing alongside other grasses beneath a tree,Flowering,Wild,Bisexual,Long awns on seed heads,USA,Texas,Tom Green,San Angelo,Along the San Angelo Nature Trail,31.36963 N,100.51557 W,575,meters
,12,2024-03-23 00:00:00,Brassicaceae,Descurainia,sophia,,Growing besides fallen log along with other forbs,Other forbs,Flowering,Wild,Bisexual,Yellow flowers arranged in a long inflorescence,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25354 N,100.66191 W,636,meters
,13,2024-03-23 00:00:00,Papaveraceae,Corydalis,aurea,,Riverbank in grassy field,Sparce grasses,Flowering,Wild,Bisexual,Yellow flowers that are horizontal,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25350 N,100.66226 W,636,meters
,15,2024-03-23 00:00:00,Asteraceae,Aphanostephus,spp.,,Growing out of a dry rocky riverbed,Sparce grasses and trees,Flowering,Wild,Bisexual,Pink ray flowers,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25496 N,100.65861 W,631,meters
,16,2024-03-23 00:00:00,Fabaceae,Cercis,canadensis,,Riverbank on steep slope,Oaks and other trees,Flowering,Wild,Bisexual,Redish pink flowers with heart shaped leaves and legumes,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25268 N,100.66184 W,636,meters
,17,2024-03-23 00:00:00,Urticaceae,Urtica,spp.,,Rangeland with many Urtica spp.,sparce grasses and other of its own kind,Flowering,Wild,Bisexual,small fine hairs that when touched have a burning sensation,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25423 N,100.66023 W,645,meters
,18,2024-03-23 00:00:00,Lamiaceae,Marrubium,vullgare,,Mesquite grove with lots of Horehound,mesquite and other of its own,Flowering,Wild,Bisexual,Whiteflowers and slight aroma present,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25274 N,100.66118 W,636,meters
,20,2024-03-23 00:00:00,Poaceae,Poa,spp.,,Dirt path with grasses growing on edge,Sparse grasses and forbs,Flowering,Wild,Bisexual,Grassy stalk,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25483 N,100.66094 W,640,meters
,21,2024-03-23 00:00:00,Brassicaceae,Lepidium,virginicum,,Open field surround by trees,Sparce grasses and other forbs,Flowering,Wild,Bisexual,small white flowers,USA,Texas,Tom Green,San Angelo,Knickerbocker Ranch outside of San Angelo,31.25374 N,100.66242 W,641,meters
,22,2024-03-31 00:00:00,Lamiaceae,Salvia,farinacea,,Rocky Outcrop with sparce vegetation ,Sparce shrubs and forbs,Flowering,Wild,Bisexual,Deep purple flowers and soft leaves,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.89198 N,100.63885 W,740,meters
,23,2024-03-31 00:00:00,Verbenaceae,Verbena,hastata,,Open pasture field,"Bluebonnets, verbenea, daisys",Flowering,Wild,Bisexual,deep violet flowers,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.89315 N,100.64089 W,727,meters
,24,2024-03-31 00:00:00,Asteraceae,Aphanostephus,spp.,,Open pasture field,"Bluebonnets, verbenea, daisys",Flowering,Wild,Bisexual,Whit petals,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.88802 N,100.64055 W,742,meters
,25,2024-03-31 00:00:00,Lamiaceae,Scutellaria,spp.,,Open pasture field,"Bluebonnets, verbenea, daisys",Flowering,Wild,Bisexual,Purple flowers with dark patches on lip of petals,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.88748 N,100.64116 W,747,meters
,27,2024-03-31 00:00:00,Santalaceae,Phoradendron,spp.,,Open pasture field,Mesquite and tasajillo,Flowering,Wild,Bisexual,light greenish yellow leaves,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.88159 N,100.63925 W,744,meters
,28,2024-03-31 00:00:00,Cactaceae,Echinocereus,enneacanthus,,Rocky outcrop beside dried lake bed full of cedar,Mesquiet and other tasajillo,Flowering,Wild,Bisexual,Deep strawberry red flowers on a ball cactus,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.88091 N,100.63928 W,735,meters
,31,2024-03-31 00:00:00,Fabaceae,Lupinus,texensis,,Open pasture field,"Bluebonnets, verbenea, daisys",Flowering,Wild,Bisexual,Deep blue flowers with a soft velvety legume,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.88090 N,100.63928 W,735,meters
,32,2024-03-31 00:00:00,Cactaceae,Cylindropuntia,leptocaulis,,Open pasture field,Cedar and sparse grass,Flowering,Wild,Bisexual,Small thorns present on stem with no apparent leaves and red fruit,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.87980 N,100.63927 W,745,meters
,33,2024-03-31 00:00:00,Verbenaceae,Glandularia,bipinnatifida,,Open pasture field,Open field dominated by this species,Flowering,Wild,Bisexual,Deep purpleflowers ,USA,Texas,Schleicher,Eldorado,Private Ranch off of County Road 412,30.87981 N,100.63927 W,745,meters
,35,2024-04-04 00:00:00,Asteraceae,Thelesperma,spp.,,Trees and other shrubs littlered about nearby,"Forbs,grasses, and shrubs present",Flowering,Wild,Bisexual,Thin leaves and stem with deep yellow-orange inflorescence,USA,Texas,Tom Green,San Angelo,The MIR Center,31.51113 N,100.50875 W,585,meters
,36,2024-04-04 00:00:00,Verbenaceae,Verbena,spp.,,Trees and other shrubs littlered about nearby,"Forbs,grasses, and shrubs present",Flowering,Wild,Bisexual,Purple flowers,USA,Texas,Tom Green,San Angelo,The MIR Center,31.51111 N,100.51077 W,582,meters
,37,2024-04-04 00:00:00,Tamaricaceae,Tamarix,spp.,,Dried riverbread with sparce grass,Sparse grasses,Flowering,Wild,Bisexual,Pink flowers with scale-like leaves,USA,Texas,Tom Green,San Angelo,The MIR Center,31.50917 N,100.51082 W,581,meters
,38,2024-04-04 00:00:00,Anacardiaceae,Rhus,microphylla,,Trees and other shrubs littlered about nearby,"Forbs,grasses, and shrubs present",Flowering,Wild,Bisexual,Small leaves with dense clusters of white flowers,USA,Texas,Tom Green,San Angelo,The MIR Center,31.51028 N,100.51252 W,586,meters
,39,2024-04-25 00:00:00,Ranunculaceae,Delphinium,carolinianum,,Mixed Shrubland alongside dirtroad,"Daisys,prickly pear, cedar, mallows",Flowering,Wild,Bisexual,White flowers on an upright inflorescence,USA,Texas,Tom Green,San Angelo,The MIR Center,31.52631 N,100.54291 W,584,meters
,40,2024-04-25 00:00:00,Malvaceae,Callirhoe,involucrata,,Mixed Shrubland alongside dirtroad,"Daisys,prickly pear, cedar, mallows",Flowering,Wild,Bisexual,Wine redish flowers,USA,Texas,Tom Green,San Angelo,The MIR Center,31.53434 N,100.53523 W,586,meters
,41,2024-04-25 00:00:00,Fabaceae,Mimosa,nuttallii,,Mixed Shrubland alongside dirtroad,"Daisys,prickly pear, cedar, mallows",Flowering,Wild,Bisexual,"Sensitive leaves that fold inward when touched, small hairs on stem, inflorescence is bright pinky with yellow tips",USA,Texas,Tom Green,San Angelo,The MIR Center,31.52943 N,100.53995 W,579,meters
,42,2024-04-25 00:00:00,Lamiaceae,Monarda,citriodora,,Mixed Shrubland alongside dirtroad,"Daisys,prickly pear, cedar, mallows",Flowering,Wild,Bisexual,Very strong aroma with purple flowers,USA,Texas,Tom Green,San Angelo,The MIR Center,31.53442 N,100.53547 W,585,meters
,43,2024-04-25 00:00:00,Cactaceae,Opuntia,lindheimeri,,Mixed Shrubland alongside dirtroad,"Daisys,prickly pear, cedar, mallows",Flowering,Wild,Bisexual,Large thorns present and at the base small hair like thorns that imbed into skin easily,USA,Texas,Tom Green,San Angelo,The MIR Center,31.53077 N,100.53671 W,583,meters
,44,2024-04-25 00:00:00,Apocynaceae,Asclepias,asperula,,Mixed Shrubland alongside dirtroad,"Daisys,prickly pear, cedar, mallows",Flowering,Wild,Bisexual,Inside the stem and leaves there is milky white latex,USA,Texas,Tom Green,San Angelo,The MIR Center,31.53020 N,100.53728 W,583,meters
,45,2024-04-25 00:00:00,Onagraceae,Oenothera,suffrutescens,,Grassy area in residential area ,Sparse grass and other beeblossom,Flowering,Wild,Bisexual,Long pronouced stamen with deep red petals,USA,Texas,Tom Green,San Angelo,Angelo State University beside the clock tower,31.44179 N,100.46333 W,582,meters
,1,2024-03-21 00:00:00,Malvaceae,Sphaeralcea,ambigua,,"Short hiking trail with rocky, dry soil near a permanent body of water. ","prickly pear cactus, Nothoscordum bivalve, other grasses and vines, a few juniper trees, and Erodium malacoides etc.",Flowering,Wild,Bisexual,"Small herb with orange petals, yellow anthers, and orangish-pink stigma.",USA,Texas,Tom Green,San Angelo,San Angelo Nature Trail,31.37763,-100.5331,573,meters
,2,2024-03-21 00:00:00,Amaryllidaceae,Nothoscordum,bivalve,,"Short hiking trail with rocky, dry soil near a permanent body of water. ","prickly pear cactus, Sphaeralcea ambigua, other grasses and vines, a few juniper trees, and Erodium malacoides etc.",Flowering,Wild,Bisexual,"Small herb with white petals, yellow anthers, and yellowish-green stigma.",USA,Texas,Tom Green,San Angelo,San Angelo Nature Trail,31.37763,-100.5331,573,meters
,3,2024-03-21 00:00:00,Geraniaceae,Erodium,malacoides,,"Short hiking trail with rocky, dry soil near a permanent body of water. ","prickly pear cactus, Nothoscordum bivalve, other grasses and vines, a few juniper trees, and Shaeralcea ambigua etc.",Flowering,Wild,Bisexual,"Small herb with pinkish-purple petals, yellow anthers, purple filaments, and purple style. Pink abaxial surface of leaves.",USA,Texas,Tom Green,San Angelo,San Angelo Nature Trail,31.37763,-100.5331,573,meters
